#city state type lat lng population
Erie PA LOCAL 42.12 -80.07 198834
Minneapolis MN METRO 44.96 -93.27 5321498
New_Braunfels TX LOCAL 29.70 -98.11 110960
Lafayette LA LOCAL 30.21 -92.03 308078
Carbondale IL LOCAL 37.72 -89.22 74209
Port_Arthur TX LOCAL 29.86 -93.93 345341
Charleston SC METRO 32.82 -79.97 1019061
Myrtle_Beach SC LOCAL 33.71 -78.88 416671
San_Marcos TX LOCAL 29.87 -97.94 133176
Leesburg FL LOCAL 28.77 -81.90 295709
St_Augustine FL LOCAL 29.90 -81.31 184643
Longview WA LOCAL 46.15 -122.96 80195
Lima OH LOCAL 40.74 -84.11 76506
Baltimore MD METRO 39.31 -76.61 3947340
Joplin MO LOCAL 37.08 -94.50 115810
Savannah GA LOCAL 32.03 -81.18 371109
Hattiesburg MS LOCAL 31.31 -89.32 95710
Wichita_Falls TX LOCAL 33.91 -98.53 111246
Nashville TN METRO 36.17 -86.78 1301362
Jackson MS LOCAL 32.32 -90.21 386689
Dalton GA LOCAL 34.77 -84.97 87944
Waxahachie TX LOCAL 32.40 -96.84 101195
Alexandria LA LOCAL 31.29 -92.47 90014
Toledo OH LOCAL 41.66 -83.58 611407
Portsmouth NH LOCAL 43.06 -70.78 97455
Jackson TN LOCAL 35.65 -88.84 71004
Ogden UT METRO 41.23 -111.97 1094546
Evansville IN LOCAL 37.99 -87.53 227338
Utica NY LOCAL 43.10 -75.23 145165
Lewiston ME LOCAL 44.09 -70.17 59425
Madison WI LOCAL 43.08 -89.39 622065
Texarkana TX LOCAL 33.45 -94.08 79304
Altoona PA LOCAL 40.51 -78.40 73374
Miami FL METRO 25.78 -80.21 8069151
Atlanta GA METRO 33.76 -84.42 6678477
Orlando FL METRO 28.48 -81.34 3237453
Detroit MI METRO 42.38 -83.10 4954861
Knik-Fairview AK LOCAL 61.51 -149.63 63587
Tacoma WA LOCAL 47.24 -122.45 761361
Tyler TX LOCAL 32.32 -95.31 152289
Albany GA LOCAL 31.58 -84.18 89323
Lubbock TX LOCAL 33.57 -101.89 257835
Burlington VT LOCAL 44.49 -73.23 153122
Milwaukee WI METRO 43.06 -87.97 2266852
Peoria IL LOCAL 40.75 -89.62 253461
Fort_Smith AR LOCAL 35.35 -94.37 134698
Waterloo IA LOCAL 42.49 -92.35 156016
Norwich CT LOCAL 41.55 -72.09 238637
Duluth MN LOCAL 46.78 -92.14 151855
Chattanooga TN LOCAL 35.07 -85.25 491809
Bozeman MT LOCAL 45.68 -111.06 57514
Pittsfield MA LOCAL 42.45 -73.26 55411
Elmira NY LOCAL 42.09 -76.81 63404
Chico CA LOCAL 39.76 -121.82 183606
Chesapeake VA LOCAL 36.68 -76.30 242647
McAllen TX METRO 26.23 -98.25 1286993
Kahului HI LOCAL 20.87 -156.46 132594
Spokane WA LOCAL 47.67 -117.43 564840
Kenosha WI LOCAL 42.59 -87.88 167981
Roanoke VA LOCAL 37.28 -79.96 216388
Tulsa OK METRO 36.13 -95.90 942791
Las_Vegas NV METRO 36.23 -115.27 3706579
Fargo ND LOCAL 46.87 -96.83 241878
Murfreesboro TN LOCAL 35.85 -86.41 255619
West_Chester PA LOCAL 39.96 -75.61 64809
Dover DE LOCAL 39.16 -75.52 137625
St_George UT LOCAL 37.08 -113.58 177715
Yuma AZ LOCAL 32.60 -114.55 217085
Salinas CA LOCAL 36.69 -121.63 458531
Champaign IL LOCAL 40.11 -88.27 226037
Riverside CA METRO 33.94 -117.39 4846767
Lexington KY LOCAL 38.04 -84.46 316743
Daphne AL LOCAL 30.63 -87.88 105564
Biddeford ME LOCAL 43.47 -70.45 62384
West_Bend WI LOCAL 43.42 -88.18 123973
Carson_City NV LOCAL 39.15 -119.75 55244
Fayetteville NC LOCAL 35.08 -78.98 361431
Eugene OR LOCAL 44.06 -123.12 373453
Harrisonburg VA LOCAL 38.44 -78.87 74901
Michigan_City IN LOCAL 41.71 -86.87 87274
Wausau WI LOCAL 44.96 -89.65 99046
Topeka KS LOCAL 39.03 -95.70 145717
New_Bedford MA LOCAL 41.67 -70.94 349581
Des_Moines IA METRO 41.57 -93.61 783039
Florida PR LOCAL 18.36 -66.56 69427
Rockford IL LOCAL 42.26 -89.06 352392
Augusta GA LOCAL 33.36 -82.07 404125
San_German PR LOCAL 18.08 -67.05 103747
